#   M	    K	    N	     v33
 2048	  512	 2304	0.019200
 2048	  512	 2560	0.019378
 2048	  512	 2816	0.020583
 2048	  512	 3072	0.022679
 2048	  512	 3328	0.022617
 2048	  512	 3584	0.023315
 2048	  512	 3840	0.023373
 2048	  512	 4096	0.026635
 2304	  512	  256	0.006666
 2304	  512	  512	0.008244
 2304	  512	  768	0.008918
 2304	  512	 1024	0.012150
 2304	  512	 1280	0.012227
 2304	  512	 1536	0.012219
 2304	  512	 1792	0.012450
 2304	  512	 2048	0.019132
 2304	  512	 2304	0.019416
 2304	  512	 2560	0.021465
 2304	  512	 2816	0.022858
 2304	  512	 3072	0.022742
 2304	  512	 3328	0.023188
 2304	  512	 3584	0.026078
 2304	  512	 3840	0.029723
 2304	  512	 4096	0.030799
 2560	  512	  256	0.006870
 2560	  512	  512	0.008299
 2560	  512	  768	0.008907
 2560	  512	 1024	0.013621
 2560	  512	 1280	0.012210
 2560	  512	 1536	0.012234
 2560	  512	 1792	0.019192
 2560	  512	 2048	0.019237
 2560	  512	 2304	0.021333
 2560	  512	 2560	0.022471
 2560	  512	 2816	0.022877
 2560	  512	 3072	0.023399
 2560	  512	 3328	0.023991
 2560	  512	 3584	0.030312
 2560	  512	 3840	0.032211
 2560	  512	 4096	0.033428
 2816	  512	  256	0.006857
 2816	  512	  512	0.008320
 2816	  512	  768	0.008783
 2816	  512	 1024	0.012313
 2816	  512	 1280	0.012248
 2816	  512	 1536	0.012678
 2816	  512	 1792	0.026173
 2816	  512	 2048	0.019855
 2816	  512	 2304	0.022422
 2816	  512	 2560	0.022893
 2816	  512	 2816	0.023768
 2816	  512	 3072	0.026394
 2816	  512	 3328	0.031184
 2816	  512	 3584	0.032954
 2816	  512	 3840	0.038435
 2816	  512	 4096	0.034683
 3072	  512	  256	0.006978
 3072	  512	  512	0.008394
 3072	  512	  768	0.012187
 3072	  512	 1024	0.012404
 3072	  512	 1280	0.012306
 3072	  512	 1536	0.017645
 3072	  512	 1792	0.019800
 3072	  512	 2048	0.022743
 3072	  512	 2304	0.032528
 3072	  512	 2560	0.027103
 3072	  512	 2816	0.024446
 3072	  512	 3072	0.030736
 3072	  512	 3328	0.032503
 3072	  512	 3584	0.034363
 3072	  512	 3840	0.035131
 3072	  512	 4096	0.036214
 3328	  512	  256	0.006986
 3328	  512	  512	0.008958
 3328	  512	  768	0.012284
 3328	  512	 1024	0.013932
 3328	  512	 1280	0.012440
 3328	  512	 1536	0.019561
 3328	  512	 1792	0.021231
 3328	  512	 2048	0.022636
 3328	  512	 2304	0.023178
 3328	  512	 2560	0.024039
 3328	  512	 2816	0.031619
 3328	  512	 3072	0.032584
 3328	  512	 3328	0.038845
 3328	  512	 3584	0.035213
 3328	  512	 3840	0.037571
 3328	  512	 4096	0.044017
 3584	  512	  256	0.007129
 3584	  512	  512	0.008753
 3584	  512	  768	0.012301
 3584	  512	 1024	0.015816
